participant_id,trial_num,start_position,rule_change_info,path1_start_stim,path1_middle_stim,path1_end_stim,path2_start_stim,path2_middle_stim,path2_end_stim,path1_final_pain,path2_final_pain,optimal_choice
79,1,2,no,stimuli/lunette.png,stimuli/zèbre.png,stimuli/violon.png,stimuli/banane.png,stimuli/ciseau.png,stimuli/face.png,High,Low,path_2
79,2,2,no,stimuli/lunette.png,stimuli/zèbre.png,stimuli/violon.png,stimuli/banane.png,stimuli/ciseau.png,stimuli/face.png,High,Low,path_2
79,3,2,no,stimuli/lunette.png,stimuli/zèbre.png,stimuli/violon.png,stimuli/banane.png,stimuli/ciseau.png,stimuli/face.png,High,Low,path_2
79,4,3,no,stimuli/zèbre.png,stimuli/violon.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,Low,None,path_2
79,5,2,no,stimuli/lunette.png,stimuli/zèbre.png,stimuli/violon.png,stimuli/banane.png,stimuli/ciseau.png,stimuli/face.png,High,Low,path_2
79,6,1,no,stimuli/violon.png,stimuli/lunette.png,stimuli/zèbre.png,stimuli/face.png,stimuli/banane.png,stimuli/ciseau.png,None,High,path_1
79,7,3,no,stimuli/zèbre.png,stimuli/violon.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,Low,None,path_2
79,8,2,no,stimuli/lunette.png,stimuli/zèbre.png,stimuli/violon.png,stimuli/banane.png,stimuli/ciseau.png,stimuli/face.png,High,Low,path_2
79,9,1,no,stimuli/violon.png,stimuli/lunette.png,stimuli/zèbre.png,stimuli/face.png,stimuli/banane.png,stimuli/ciseau.png,None,High,path_1
79,10,2,no,stimuli/lunette.png,stimuli/zèbre.png,stimuli/violon.png,stimuli/banane.png,stimuli/ciseau.png,stimuli/face.png,High,Low,path_2
79,11,3,no,stimuli/zèbre.png,stimuli/violon.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,Low,None,path_2
79,12,1,no,stimuli/violon.png,stimuli/lunette.png,stimuli/zèbre.png,stimuli/face.png,stimuli/banane.png,stimuli/ciseau.png,None,High,path_1
79,13,1,no,stimuli/violon.png,stimuli/lunette.png,stimuli/zèbre.png,stimuli/face.png,stimuli/banane.png,stimuli/ciseau.png,None,High,path_1
79,14,1,no,stimuli/violon.png,stimuli/lunette.png,stimuli/zèbre.png,stimuli/face.png,stimuli/banane.png,stimuli/ciseau.png,None,High,path_1
79,15,2,no,stimuli/lunette.png,stimuli/zèbre.png,stimuli/violon.png,stimuli/banane.png,stimuli/ciseau.png,stimuli/face.png,High,Low,path_2
79,16,2,no,stimuli/lunette.png,stimuli/zèbre.png,stimuli/violon.png,stimuli/banane.png,stimuli/ciseau.png,stimuli/face.png,High,Low,path_2
79,17,2,no,stimuli/lunette.png,stimuli/zèbre.png,stimuli/violon.png,stimuli/banane.png,stimuli/ciseau.png,stimuli/face.png,High,Low,path_2
79,18,3,no,stimuli/zèbre.png,stimuli/violon.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,Low,None,path_2
79,19,3,no,stimuli/zèbre.png,stimuli/violon.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,Low,None,path_2
79,20,3,no,stimuli/zèbre.png,stimuli/violon.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,Low,None,path_2
79,21,1,no,stimuli/violon.png,stimuli/lunette.png,stimuli/zèbre.png,stimuli/face.png,stimuli/banane.png,stimuli/ciseau.png,None,High,path_1
79,22,3,no,stimuli/zèbre.png,stimuli/violon.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,Low,None,path_2
79,23,2,no,stimuli/lunette.png,stimuli/zèbre.png,stimuli/violon.png,stimuli/banane.png,stimuli/ciseau.png,stimuli/face.png,High,Low,path_2
79,24,1,yes,stimuli/violon.png,stimuli/lunette.png,stimuli/zèbre.png,stimuli/face.png,stimuli/banane.png,stimuli/ciseau.png,High,Low,path_2
