participant_id,trial_num,start_position,rule_change_info,path1_start_stim,path1_middle_stim,path1_end_stim,path2_start_stim,path2_middle_stim,path2_end_stim,path1_final_pain,path2_final_pain,optimal_choice
10,1,3,no,stimuli/face.png,stimuli/zèbre.png,stimuli/lunette.png,stimuli/banane.png,stimuli/violon.png,stimuli/ciseau.png,Low,None,path_2
10,2,2,no,stimuli/lunette.png,stimuli/face.png,stimuli/zèbre.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/violon.png,High,Low,path_2
10,3,2,no,stimuli/lunette.png,stimuli/face.png,stimuli/zèbre.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/violon.png,High,Low,path_2
10,4,2,no,stimuli/lunette.png,stimuli/face.png,stimuli/zèbre.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/violon.png,High,Low,path_2
10,5,2,no,stimuli/lunette.png,stimuli/face.png,stimuli/zèbre.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/violon.png,High,Low,path_2
10,6,1,no,stimuli/zèbre.png,stimuli/lunette.png,stimuli/face.png,stimuli/violon.png,stimuli/ciseau.png,stimuli/banane.png,None,High,path_1
10,7,1,no,stimuli/zèbre.png,stimuli/lunette.png,stimuli/face.png,stimuli/violon.png,stimuli/ciseau.png,stimuli/banane.png,None,High,path_1
10,8,3,no,stimuli/face.png,stimuli/zèbre.png,stimuli/lunette.png,stimuli/banane.png,stimuli/violon.png,stimuli/ciseau.png,Low,None,path_2
10,9,2,no,stimuli/lunette.png,stimuli/face.png,stimuli/zèbre.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/violon.png,High,Low,path_2
10,10,3,no,stimuli/face.png,stimuli/zèbre.png,stimuli/lunette.png,stimuli/banane.png,stimuli/violon.png,stimuli/ciseau.png,Low,None,path_2
10,11,3,no,stimuli/face.png,stimuli/zèbre.png,stimuli/lunette.png,stimuli/banane.png,stimuli/violon.png,stimuli/ciseau.png,Low,None,path_2
10,12,2,no,stimuli/lunette.png,stimuli/face.png,stimuli/zèbre.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/violon.png,High,Low,path_2
10,13,2,no,stimuli/lunette.png,stimuli/face.png,stimuli/zèbre.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/violon.png,High,Low,path_2
10,14,1,no,stimuli/zèbre.png,stimuli/lunette.png,stimuli/face.png,stimuli/violon.png,stimuli/ciseau.png,stimuli/banane.png,None,High,path_1
10,15,3,no,stimuli/face.png,stimuli/zèbre.png,stimuli/lunette.png,stimuli/banane.png,stimuli/violon.png,stimuli/ciseau.png,Low,None,path_2
10,16,1,no,stimuli/zèbre.png,stimuli/lunette.png,stimuli/face.png,stimuli/violon.png,stimuli/ciseau.png,stimuli/banane.png,None,High,path_1
10,17,2,no,stimuli/lunette.png,stimuli/face.png,stimuli/zèbre.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/violon.png,High,Low,path_2
10,18,3,no,stimuli/face.png,stimuli/zèbre.png,stimuli/lunette.png,stimuli/banane.png,stimuli/violon.png,stimuli/ciseau.png,Low,None,path_2
10,19,3,no,stimuli/face.png,stimuli/zèbre.png,stimuli/lunette.png,stimuli/banane.png,stimuli/violon.png,stimuli/ciseau.png,Low,None,path_2
10,20,2,no,stimuli/lunette.png,stimuli/face.png,stimuli/zèbre.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/violon.png,High,Low,path_2
